"trap_date","genus","specific_epithet","gender","idd","count","trap_region","include","comparison_group","latitude","longitude","geocoded_column"
"2015-09-15T00:00:00.000","Aedes","vexans","Female",,"3","Rural-West",,"Outer","53.5629733","-113.787353","POINT (-113.787353 53.5629733)"
"1998-05-12T00:00:00.000","Male","UnID","Male","UnID","1","Rural-North West",,"Peripheral","53.617221","-113.716182","POINT (-113.716182 53.617221)"
"2001-08-28T00:00:00.000","Culex","tarsalis","Female",,"1","Rural-North West",,"Peripheral","53.617221","-113.716182","POINT (-113.716182 53.617221)"
"2004-08-17T00:00:00.000","Culex","territans","Female",,"1","Rural-North West",,"Peripheral","53.617221","-113.716182","POINT (-113.716182 53.617221)"
"2018-05-15T00:00:00.000","Culiseta","impatiens","Female",,"2","Rural-West",,"Outer","53.55902","-114.00119","POINT (-114.00119 53.559020000000004)"
"2016-09-13T00:00:00.000","Male","UnID","Male","UnID","10","Rural-North West",,"Peripheral","53.6192317","-113.7127984","POINT (-113.7127984 53.6192317)"
"2018-08-07T00:00:00.000","Aedes","vexans","Female",,"11","Rural-East",,"Outer","53.6067218","-113.2213587","POINT (-113.22135870000001 53.6067218)"
"2005-08-16T00:00:00.000","Aedes","vexans","Female",,"1","Rural-North West",,"Peripheral","53.617221","-113.716182","POINT (-113.716182 53.617221)"
"2012-05-15T00:00:00.000","Anopheles","earlei","Female",,"1","Rural-North West",,"Peripheral","53.6192317","-113.7127984","POINT (-113.7127984 53.6192317)"
"2016-09-20T00:00:00.000","Aedes","vexans","Female",,"42","Rural-West",,"Outer","53.5629733","-113.787353","POINT (-113.787353 53.5629733)"
"2016-08-16T00:00:00.000","Male","UnID","Male","UnID","530","Outer Community-North",,"Outer","53.7744765","-113.5857153","POINT (-113.5857153 53.7744765)"
"2019-07-30T00:00:00.000","Aedes","dorsalis","Female",,"1","Rural-North West",,"Peripheral","53.6192317","-113.7127984","POINT (-113.7127984 53.6192317)"
"2014-09-16T00:00:00.000","Male","UnID","Male","UnID","19","Rural-East",,"Outer","53.6067218","-113.2213587","POINT (-113.22135870000001 53.6067218)"
